first_name,last_name,dob,company_name,last_active,score,member_since,state,source
Robert,Mclaughlin,1967/03/26,Mcdonald Inc,2018/08/25,57,2013,OR,Golf
Brittany,Norris,1972/09/06,Hunter Ltd,2018/03/29,73,1986,MD,Golf
Sharon,Nichols,1971/04/19,"Alvarez, Schaefer and Robertson",2018/04/11,92,1985,WY,Golf
Christopher,Ware,1977/05/25,Rivera-Morrow,2018/07/20,74,2003,PA,Golf
Kevin,Scott,1981/12/15,"Smith, Torres and Matthews",2018/11/20,42,1994,MN,Golf
Lauren,Page,1995/03/22,,2018/07/25,95,2016,ID,Golf
Franklin,Wilson,1969/10/11,Rivera-Morrow,2018/12/16,43,1990,GA,Golf
Timothy,Wilson,1980/05/14,Keller Group,2018/01/14,38,1996,MS,Golf
Elizabeth,Ramos,1985/12/21,Taylor-Alvarez,2018/02/23,44,1998,WA,Golf
Tracy,Bennett,1968/05/09,"Hopkins, Barnes and Ward",2018/10/18,74,2009,TX,Golf
Cameron,Lin,1971/07/11,"Jackson, Carlson and Contreras",2018/06/24,69,2018,NY,Golf
Kimberly,Gray,1971/11/24,"Alvarez, Schaefer and Robertson",2018/09/16,58,2004,SC,Golf
Kevin,Mitchell,1971/09/18,Parker Group,2018/09/06,91,2000,AR,Golf
David,Martin,1960/02/16,Peterson and Sons,2018/11/05,79,2014,VT,Golf
Roger,Phillips,1973/09/12,Peterson and Sons,2018/12/31,71,2015,IN,Golf
Daniel,Allen,1982/06/03,Williams-Stephenson,2019/01/04,73,1996,AZ,Golf
Danielle,Jennings,1987/04/18,Hunter Ltd,2018/01/26,87,2016,IN,Golf
Tyler,Adkins,1960/07/14,Hunter Ltd,2018/12/26,54,1972,WI,Golf
Bryan,Carroll,1962/08/15,"Smith, Torres and Matthews",2018/05/04,86,2009,NE,Golf
Melissa,Hicks,1973/08/15,Mcdonald Inc,2018/11/19,58,1995,OK,Golf
Nathaniel,Allen,1984/02/02,Taylor-Alvarez,2018/12/15,85,2003,WI,Golf
Brittany,King,1959/10/07,"Mullen, Huffman and Vasquez",2018/08/25,89,2017,HI,Golf
Robert,Dunn,1972/10/30,,2018/12/23,73,1993,WV,Golf
Colleen,Moore,1965/01/12,Taylor-Alvarez,2018/03/28,58,2017,PA,Golf
Eric,Fuentes,1959/04/11,"Hopkins, Barnes and Ward",2018/09/21,84,1975,ME,Golf
Rebecca,Baker,1967/08/07,Mcdonald Inc,2018/04/25,40,2006,PA,Golf
Jennifer,Brown,1991/01/18,Pearson Group,2018/02/16,77,2012,CO,Golf
Anthony,Blake,1959/09/15,Peterson and Sons,2018/09/13,93,2005,KY,Golf
Frederick,Santiago,1965/04/19,"Kelley, Gilbert and Jackson",2018/04/20,77,1998,NC,Golf
Michael,Hernandez,1996/07/17,"Hopkins, Barnes and Ward",2018/09/26,45,2014,NM,Golf
Johnny,Garcia,1970/03/09,Keller Group,2018/10/12,50,1993,KS,Golf
Cindy,Davenport,1973/02/12,Keller Group,2018/01/14,46,1999,DC,Golf
Allen,Mcmillan,1969/04/07,"Mullen, Huffman and Vasquez",2018/09/11,33,1981,WV,Golf
Allison,Petersen,1960/12/11,Hunter Ltd,2018/03/26,33,2018,LA,Golf
Charles,Beasley,1976/07/08,Mcdonald Inc,2018/02/28,71,2001,LA,Golf
James,Wagner,1961/02/28,Bruce Inc,2018/04/22,87,2000,LA,Golf
James,Martinez,1971/02/09,Bruce Inc,2018/03/19,58,2003,MT,Golf
Phillip,Davis,1986/05/26,Scott and Sons,2018/08/24,43,2005,AK,Golf
Michelle,Mitchell,1980/07/15,Rivera Ltd,2018/07/17,51,2009,NV,Golf
Brandy,Lambert,1966/04/01,Mcdonald Inc,2018/08/13,94,2002,MI,Golf
Alexandria,Walker,1982/06/20,,2018/12/27,69,2018,VT,Golf
Matthew,Lopez,1991/07/25,Rivera Ltd,2018/10/20,90,2016,DE,Golf
Barbara,Gonzalez,1988/01/24,"Kelley, Gilbert and Jackson",2018/07/07,61,2006,IL,Golf
Jeffrey,Lowe,1976/03/15,"Kelley, Gilbert and Jackson",2018/06/02,70,1999,DC,Golf
Michael,Phillips,1980/05/06,"Hopkins, Barnes and Ward",2018/11/27,72,2000,ND,Golf
Misty,Patterson,1998/06/23,"Martin, Mcknight and Clark",2018/12/16,47,2012,AZ,Golf
Riley,Graham,1961/11/19,Keller Group,2018/06/17,35,1979,NY,Golf
Rebecca,Vazquez,1961/02/09,Parker Group,2018/02/13,46,2011,AK,Golf
Taylor,Oliver,1971/07/21,Scott and Sons,2018/06/29,75,1987,AL,Golf
Chelsea,Sparks,1966/08/25,Hunter Ltd,2018/05/09,98,2007,WV,Golf
