first_name,last_name,dob,company_name,last_active,score,member_since,state,source,errors
Randall,Hendricks,1979/12/01,"Jackson, Carlson and Contreras",2018/08/23,85,1972,SC,Golf,"Member Since Before DOB,Suspicious Join Age"
Brandon,Roberts,1990/04/28,Bruce Inc,2018/07/13,72,1984,DC,Golf,"Member Since Before DOB,Suspicious Join Age"
Joshua,Rivera,1975/09/19,"Martin, Mcknight and Clark",2018/02/26,64,1977,MN,Golf,Suspicious Join Age
Jasmine,Jones,1976/10/10,Peterson and Sons,2018/10/15,51,1985,DC,Golf,Suspicious Join Age
Alec,Brown,1969/06/26,"Mullen, Huffman and Vasquez",2018/06/30,86,1977,CA,Golf,Suspicious Join Age
Patrick,Delacruz,1968/11/05,Parker Group,2019/01/06,45,1979,WA,Golf,Suspicious Join Age
Gabriel,Martin,1983/05/19,Peterson and Sons,2018/12/29,72,1974,CT,Golf,"Member Since Before DOB,Suspicious Join Age"
Alison,Huff,1988/04/30,"Mullen, Huffman and Vasquez",2018/01/13,71,1987,IN,Golf,"Member Since Before DOB,Suspicious Join Age"
Michael,Cook,1980/10/25,Rivera-Morrow,2018/08/30,81,1978,SC,Golf,"Member Since Before DOB,Suspicious Join Age"
Kara,Cook,1976/12/19,"Smith, Torres and Matthews",2018/10/03,73,1985,AL,Golf,Suspicious Join Age
Lisa,Smith,1986/02/16,Rivera Ltd,2018/04/15,82,1973,WA,Golf,"Member Since Before DOB,Suspicious Join Age"
Ryan,Miller,1994/05/13,"Mullen, Huffman and Vasquez",2018/01/28,62,1972,IN,Golf,"Member Since Before DOB,Suspicious Join Age"
Brenda,Ward,1982/03/28,"Brown, Vasquez and Sanchez",2018/04/16,90,1979,SC,Golf,"Member Since Before DOB,Suspicious Join Age"
James,Wilson,1994/09/18,Scott and Sons,2018/03/01,94,1987,CA,Golf,"Member Since Before DOB,Suspicious Join Age"
James,Bender,1998/02/25,"Smith, Torres and Matthews",2018/01/18,99,1976,LA,Golf,"Member Since Before DOB,Suspicious Join Age"
Michael,Hardin,1987/08/16,Scott and Sons,2018/10/12,33,1986,WA,Golf,"Member Since Before DOB,Suspicious Join Age"
Kendra,Leonard,1987/01/14,Mcdonald Inc,2018/07/21,96,1983,ID,Golf,"Member Since Before DOB,Suspicious Join Age"
Raymond,Smith,1994/02/09,Peterson and Sons,2018/08/07,34,1993,ME,Golf,"Member Since Before DOB,Suspicious Join Age"
Sean,Ochoa,1973/06/09,Bruce Inc,2018/11/04,75,1975,CA,Golf,Suspicious Join Age
Courtney,Silva,1991/07/08,Keller Group,2018/07/06,58,1975,NH,Golf,"Member Since Before DOB,Suspicious Join Age"
Lisa,Smith,1990/04/04,Williams-Stephenson,2018/12/08,47,1983,AR,Golf,"Member Since Before DOB,Suspicious Join Age"
Shelly,Pham,1988/06/10,"Smith, Torres and Matthews",2018/02/01,49,1996,WI,Golf,Suspicious Join Age
April,Underwood,1965/01/03,"Mullen, Huffman and Vasquez",2018/01/20,31,1974,NC,Golf,Suspicious Join Age
Michael,Allen,1987/04/11,Scott and Sons,2018/10/01,45,1988,IL,Golf,Suspicious Join Age
Brendan,King,1993/08/15,Keller Group,2019/01/04,78,1978,NC,Golf,"Member Since Before DOB,Suspicious Join Age"
Richard,Horn,1971/12/11,Mcdonald Inc,2018/01/17,58,1971,VA,Golf,Suspicious Join Age
Leslie,Williams,1993/11/11,Pearson Group,2018/05/15,55,1999,NV,Golf,Suspicious Join Age
Cindy,Hart,1984/06/19,Rivera-Morrow,2018/03/20,57,1979,LA,Golf,"Member Since Before DOB,Suspicious Join Age"
Christine,Young,1965/11/11,Taylor-Alvarez,2018/12/19,85,1973,WY,Golf,Suspicious Join Age
Harold,Martinez,1974/03/31,"Martin, Mcknight and Clark",2018/12/11,78,1976,WV,Golf,Suspicious Join Age
Susan,Garza,1996/01/20,Pearson Group,2018/11/02,32,1972,NH,Golf,"Member Since Before DOB,Suspicious Join Age"
John,Jones,1985/08/20,Parker Group,2018/03/23,45,1971,GA,Golf,"Member Since Before DOB,Suspicious Join Age"
Joshua,Davis,1998/02/15,"Martin, Mcknight and Clark",2018/01/25,62,1987,ND,Golf,"Member Since Before DOB,Suspicious Join Age"
Jessica,Frazier,1988/11/10,Parker Group,2018/06/16,37,1998,OH,Golf,Suspicious Join Age
Deborah,Williams,1989/06/12,"Jackson, Carlson and Contreras",2018/04/12,50,1987,IN,Golf,"Member Since Before DOB,Suspicious Join Age"
Darren,Sanchez,1993/03/10,Mcdonald Inc,2018/01/26,99,1989,HI,Golf,"Member Since Before DOB,Suspicious Join Age"
Amber,Holmes,1995/03/13,,2018/06/05,82,1999,OR,Golf,Suspicious Join Age
Brandon,Perkins,1977/07/08,"Hopkins, Barnes and Ward",2018/04/25,59,1983,KS,Golf,Suspicious Join Age
David,Martinez,1983/03/24,Pearson Group,2018/11/14,69,1972,NC,Golf,"Member Since Before DOB,Suspicious Join Age"
Katherine,Martinez,1984/09/28,Hunter Ltd,2018/07/22,63,1980,GA,Golf,"Member Since Before DOB,Suspicious Join Age"
Amanda,Hill,1993/02/09,Parker Group,2018/10/27,58,1985,GA,Golf,"Member Since Before DOB,Suspicious Join Age"
Alejandro,Silva,1995/09/14,Williams-Stephenson,2018/12/12,48,1997,OH,Golf,Suspicious Join Age
Rachel,Webb,1988/01/25,"Jackson, Carlson and Contreras",2018/08/26,81,1989,ID,Golf,Suspicious Join Age
Ashley,Rivera,1990/10/03,Mcdonald Inc,2018/07/13,44,1970,OR,Golf,"Member Since Before DOB,Suspicious Join Age"
Brian,Martinez,1976/09/05,Mcdonald Inc,2018/06/10,71,1982,TX,Golf,Suspicious Join Age
Jennifer,Steele,1990/05/14,Hunter Ltd,2018/07/08,74,1991,OH,Golf,Suspicious Join Age
Morgan,Evans,1998/06/06,Rivera Ltd,2018/03/07,67,1991,CO,Golf,"Member Since Before DOB,Suspicious Join Age"
Nathan,Gonzalez,1971/11/16,"Jackson, Carlson and Contreras",2018/06/05,32,1981,NH,Golf,Suspicious Join Age
James,Clark,1985/12/20,"Mullen, Huffman and Vasquez",2018/10/05,56,1978,SC,Golf,"Member Since Before DOB,Suspicious Join Age"
Wesley,Anderson,1976/01/14,"Mullen, Huffman and Vasquez",2018/03/13,95,1975,HI,Golf,"Member Since Before DOB,Suspicious Join Age"
Nathan,Brown,1983/12/02,Bruce Inc,2018/03/28,96,1985,ID,Golf,Suspicious Join Age
Miguel,Smith,1974/11/24,"Smith, Torres and Matthews",2018/10/30,63,1973,SC,Golf,"Member Since Before DOB,Suspicious Join Age"
Carrie,Garcia,1964/09/11,Peterson and Sons,2018/07/08,52,1971,DE,Golf,Suspicious Join Age
Gina,Clark,1989/06/04,Rivera Ltd,2018/02/12,64,1975,NV,Golf,"Member Since Before DOB,Suspicious Join Age"
Kimberly,Williams,1987/04/27,"Mullen, Huffman and Vasquez",2018/06/15,91,1975,SC,Golf,"Member Since Before DOB,Suspicious Join Age"
Samuel,Martin,1987/05/11,Scott and Sons,2018/04/15,60,1977,GA,Golf,"Member Since Before DOB,Suspicious Join Age"
Joseph,Wallace,1993/08/19,Keller Group,2018/05/14,85,1990,HI,Golf,"Member Since Before DOB,Suspicious Join Age"
Juan,Nixon,1990/12/28,Pearson Group,2018/03/23,54,2000,SC,Golf,Suspicious Join Age
Jennifer,Glass,1981/03/18,"Hopkins, Barnes and Ward",2018/02/13,70,1984,HI,Golf,Suspicious Join Age
Kenneth,Gibson,1988/10/24,"Brown, Vasquez and Sanchez",2018/09/10,65,1976,CO,Golf,"Member Since Before DOB,Suspicious Join Age"
